RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ChurnProbability,ChurnProbabilityPct,RiskSegment
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.5785054418048041,57.85,Medium Risk
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.424332660821539,42.43,Medium Risk
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.9300276659660265,93.0,High Risk
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.1963231980136526,19.63,Low Risk
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.29986120367765307,29.99,Low Risk
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.5152577922951868,51.53,Medium Risk
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.1975080680192284,19.75,Low Risk
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.8801254831725752,88.01,High Risk
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.3768621489836447,37.69,Medium Risk
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.1549519163525101,15.5,Low Risk
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.14300295837378216,14.3,Low Risk
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.04617647121018378,4.62,Low Risk
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.09894859678532855,9.89,Low Risk
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.10330418684416703,10.33,Low Risk
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.08392182243141794,8.39,Low Risk
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.4191939782009083,41.92,Medium Risk
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.9484232191410956,94.84,High Risk
